,2019-02-18,2019-06-10,2018-11-01,2018-12-03,2019-07-12,2019-08-13,2018-09-14,2019-03-22,2019-04-23,2019-05-25,2019-07-28,2018-09-30,2019-06-26,2019-08-29,2019-03-06,2019-04-07,2019-05-09,2018-10-16,2018-11-17,number,groups,type,PC_1_45%,PC_2_20%,PC_3_16%,geometry
236,0.6374500000000001,0.4726,0.6896,0.69135,0.2384,0.2334,0.23585,0.7665000000000001,0.9031,0.8673500000000001,0.2524,0.323,0.24195,0.23045,0.65375,0.8253,0.92145,0.5346,0.49760000000000004,236,озимые,PP,10.05017434509891,0.3112557277438914,2.3227297158248863,"POLYGON ((44.1465589398429 44.55194910609085, 44.14069497116773 44.55493041352943, 44.15554670491514 44.56904778110632, 44.16114761705161 44.56579245643992, 44.1465589398429 44.55194910609085))"
237,0.6145,0.39195,0.6219,0.62475,0.22345,0.19345,0.22875,0.7622,0.9,0.8322,0.25639999999999996,0.28595000000000004,0.2108,0.20085,0.6661,0.8139500000000001,0.90795,0.45465,0.46745000000000003,237,озимые,PP,8.982885738232467,-0.5966652328868688,1.616315068700529,"POLYGON ((44.16169565150723 44.56615415918065, 44.15584264352118 44.56928891626682, 44.16309861971365 44.57618318971856, 44.16883106011947 44.57296074711949, 44.16169565150723 44.56615415918065))"
238,0.6145,0.39749999999999996,0.63985,0.6619,0.22725,0.20705,0.2438,0.7778,0.8794500000000001,0.8288,0.26034999999999997,0.30169999999999997,0.22360000000000002,0.2148,0.6579999999999999,0.8107000000000001,0.8933,0.4646,0.5256000000000001,238,озимые,PP,9.38973664015753,-0.2954668192878873,2.0859776054505312,"POLYGON ((44.15553574422602 44.56956293349466, 44.15320111744506 44.57093849997827, 44.16040777053652 44.57759711861411, 44.16265471180458 44.57635308039984, 44.15553574422602 44.56956293349466))"
239,0.6707000000000001,0.4569,0.7402000000000001,0.7262000000000001,0.2411,0.2382,0.2508,0.7807000000000001,0.9009,0.8705,0.2566,0.3468,0.242,0.2263,0.6849000000000001,0.8338,0.9228,0.5622,0.5663,239,озимые,PP,10.95911166145352,0.2919973100812991,3.0603826683304094,"POLYGON ((44.14039355221714 44.55525375385832, 44.13778490820837 44.55660191861914, 44.15279009160335 44.57064256137222, 44.15523432527544 44.5692943966114, 44.14039355221714 44.55525375385832))"
240,0.66035,0.4521,0.73885,0.7394499999999999,0.23525000000000001,0.2286,0.24095000000000003,0.7704,0.8964000000000001,0.8636,0.24614999999999998,0.34190000000000004,0.23765,0.22285,0.6808000000000001,0.823,0.9181999999999999,0.5552,0.5687,240,озимые,PP,10.826250370911882,0.017000707604439433,2.910587660338246,"POLYGON ((44.1345515049202 44.55836658956623, 44.14950188486963 44.57235242887378, 44.15243934955177 44.57077408964159, 44.13745608753501 44.55684305377961, 44.1345515049202 44.55836658956623))"
241,0.6052000000000001,0.3698,0.6436000000000001,0.6854,0.2257,0.1955,0.2294,0.7564000000000001,0.8888,0.8285,0.2384,0.28,0.2199,0.2067,0.6503,0.8051,0.9041,0.4682,0.5658000000000001,241,озимые,PP,9.38870343931366,-0.7951339753523784,1.7447077436360303,"POLYGON ((44.15289969849449 44.57110291031497, 44.14987454829945 44.57269221023628, 44.15696611415522 44.57934534852755, 44.16005702848494 44.57778893067358, 44.15289969849449 44.57110291031497))"
242,0.6225,0.4223,0.6575000000000001,0.7078500000000001,0.2373,0.2248,0.23265,0.7047,0.8916000000000001,0.85205,0.24380000000000002,0.2641,0.23145,0.22535,0.6348,0.8202,0.8926000000000001,0.47350000000000003,0.52545,242,озимые,PP,9.286097562297579,-0.053817418415976745,1.489338347412344,"POLYGON ((44.12836967626076 44.56153422871976, 44.14336389896665 44.57572832112044, 44.14915114281803 44.57256068196693, 44.13409115597747 44.55845427507916, 44.12836967626076 44.56153422871976))"
243,0.5878,0.3457,0.6338,0.6963,0.22699999999999998,0.1897,0.2223,0.6999000000000001,0.8797,0.8198000000000001,0.2312,0.2536,0.2139,0.1967,0.6157,0.7934,0.903,0.4829,0.5675,243,озимые,PP,9.012844447173682,-1.0715212028467436,1.4713018003118572,"POLYGON ((44.1437584837747 44.57602425972647, 44.15074044273933 44.58255683043752, 44.1565934507254 44.57944399472957, 44.14949092418053 44.57286758126209, 44.1437584837747 44.57602425972647))"
244,0.20129999999999998,0.6116,0.214,0.24180000000000001,0.30260000000000004,0.2358,0.242,0.2281,0.25830000000000003,0.6949000000000001,0.2412,0.20934999999999998,0.5268,0.23725000000000002,0.2246,0.23865,0.4439000000000001,0.21305000000000002,0.1932,244,не_злаковые_яровые,PP,-1.8451659326036942,2.0656735903177377,0.9015425718092631,"POLYGON ((44.12343736616017 44.60481799002508, 44.1246485223071 44.60708685267136, 44.12504310711515 44.60685667820001, 44.12578843397479 44.60658266097217, 44.12878070210252 44.60588665721357, 44.12842996005092 44.60545919033817, 44.12852860625293 44.60506460553012, 44.12895607312831 44.60491115588254, 44.12926297242347 44.60490019519342, 44.12989869239199 44.60541534758172, 44.14318304759632 44.59824705690215, 44.14291999105761 44.59792919691789, 44.14265693451891 44.59785795243866, 44.1422769526855 44.59754067311363, 44.14160509410778 44.59711164470616, 44.14070506119218 44.59634776815272, 44.13959892589585 44.59662714107785, 44.13808411931127 44.59731225801747, 44.1369759363447 44.59772786945309, 44.13593803209295 44.59790727553968, 44.13508309834219 44.5979291969179, 44.13395414736361 44.59819225345661, 44.13295672465437 44.59852107412998, 44.13160855989354 44.59874028791223, 44.13080842958833 44.59881701273601, 44.12918624759967 44.59887181618158, 44.12788192559529 44.59899238376183, 44.12735033217332 44.59912391203117, 44.12625426326208 44.59946917373822, 44.12524587986373 44.59980895510071, 44.12441834783574 44.59972674993237, 44.12464304196254 44.60018161853053, 44.12470880609722 44.60058716402771, 44.12430874094461 44.60076253505351, 44.12381550993454 44.60100915055853, 44.12371138338797 44.60126672675267, 44.12416625198614 44.60190792706574, 44.12495542160223 44.60292179080864, 44.12524587986372 44.60344790388603, 44.12529520296472 44.60383152800498, 44.12513627297259 44.60404526144266, 44.12343736616017 44.60481799002508))"
245,0.2227,0.4964,0.2417,0.2348,0.2771,0.2241,0.3927,0.2459,0.3169,0.6769000000000001,0.2266,0.2456,0.29450000000000004,0.2241,0.2533,0.2783,0.5865,0.2439,0.2041,245,не_злаковые_яровые,PP,-0.939302007400063,0.34259834693541663,2.742869806191715,"POLYGON ((44.15700447656712 44.57992626505064, 44.15403961016224 44.58152104531656, 44.15777720514959 44.58510519065631, 44.15777720514959 44.58518191548011, 44.15771144101492 44.58528056168212, 44.15763471619113 44.58533536512768, 44.15749222723267 44.58528056168214, 44.15374367155619 44.5816744949641, 44.15125559512766 44.58291305283382, 44.15124463443855 44.58301169903583, 44.1512007916821 44.58314322730519, 44.1511131061692 44.58324187350719, 44.15097061721074 44.58331859833099, 44.15080620687405 44.58328571626365, 44.1506746786047 44.58317610937252, 44.14740839324918 44.5848202127394, 44.15140904477524 44.58847012221386, 44.15140904477524 44.58859068979409, 44.15133231995145 44.5886893359961, 44.15125559512767 44.58872221806344, 44.15111310616921 44.58871125737434, 44.14704669050847 44.58500654445431, 44.13798220061243 44.58969771939444, 44.1406785301341 44.59236116684879, 44.14104023287482 44.59306265095199, 44.14131425010262 44.59355588196203, 44.14110599700949 44.5961535652817, 44.14127040734618 44.59639470044216, 44.14244320108121 44.59723867350384, 44.14293643209128 44.59766614037921, 44.14397769755696 44.59766614037922, 44.16414536552391 44.58683697953606, 44.15700447656712 44.57992626505064))"
